event_id,iter_id,storm_path,x0,y0,x,y,dx_m,dy_m,precip_avg_mm,precip_avg_in,grid_id,pi_c,A_c,q_draw
iter1_k0,1,20010117,652000.0,1240000.0,915496.4636238947,1094214.9437027252,263496.4636238947,-145785.05629727477,3.812651564660387,0.15010439230946407,1,0.03,22993797319.360973,2.985582791308691e-15
iter1_k1,1,20070625,-152000.0,1112000.0,990406.9857452663,1118594.7420488847,1142406.9857452663,6594.742048884742,0.0,0.0,1,0.03,22993797319.360973,2.985582791308691e-15
iter1_k2,1,19960707,716000.0,1212000.0,918276.9410376393,1170428.9067643709,202276.94103763928,-41571.093235629145,1.6188040771906325,0.06373244398388317,1,0.03,22993797319.360973,2.985582791308691e-15
iter1_k3,1,19800927,192000.0,1220000.0,997518.2009651407,1004795.0450796931,805518.2009651407,-215204.95492030692,0.0,0.0,2,0.03,22993797319.360973,2.985582791308691e-15
iter1_k4,1,20040512,376000.0,816000.0,943482.9340538465,909134.3195771785,567482.9340538465,93134.31957717845,0.0,0.0,2,0.03,22993797319.360973,2.985582791308691e-15
iter1_k5,1,19790918,60000.0,652000.0,919958.2039118957,937682.4847515797,859958.2039118957,285682.4847515797,0.0,0.0,2,0.03,22993797319.360973,2.985582791308691e-15
iter1_k6,1,19910217,388000.0,1136000.0,-100679.42003521559,863224.1945194092,-488679.42003521556,-272775.8054805908,81.11818397856896,3.193629290494841,3,0.03,22993797319.36096,2.9855827913086924e-15
iter1_k7,1,20151223,908000.0,968000.0,-145098.9735370208,744005.1866531611,-1053098.9735370209,-223994.81334683893,74.37576693743519,2.928179800686425,3,0.03,22993797319.36096,2.9855827913086924e-15
iter1_k8,1,19990311,372000.0,768000.0,-154256.12713735484,774820.1316114686,-526256.1271373548,6820.13161146862,66.17625518492913,2.6053643773594146,3,0.03,22993797319.36096,2.9855827913086924e-15
iter1_k9,1,20040926,1272000.0,880000.0,113567.49734287038,903354.4746064446,-1158432.5026571297,23354.474606444594,61.54905159004494,2.4231910074820844,4,0.03,22993797319.36096,2.9855827913086924e-15
iter1_k10,1,20210503,1000000.0,1264000.0,38677.47655727719,873836.7711244248,-961322.5234427229,-390163.22887557524,18.850467453767717,0.7421443879436109,4,0.03,22993797319.36096,2.9855827913086924e-15
iter1_k11,1,19881118,292000.0,1284000.0,71127.13338838374,876369.7810719479,-220872.86661161628,-407630.2189280521,18.00152037245074,0.7087212745059347,4,0.03,22993797319.36096,2.9855827913086924e-15
iter1_k12,1,20160330,976000.0,948000.0,107938.65493205481,795350.8352772826,-868061.3450679452,-152649.16472271737,62.375081014517804,2.455711850965268,5,0.03,22993797319.36096,2.9855827913086924e-15
iter1_k13,1,20120108,260000.0,768000.0,138636.11014481678,806574.5567487117,-121363.88985518322,38574.55674871174,54.986173522295196,2.1648099811927244,5,0.03,22993797319.36096,2.9855827913086924e-15
iter1_k14,1,19950731,-64000.0,896000.0,125900.03055970435,754556.6198809934,189900.03055970435,-141443.38011900662,53.19799408053923,2.0944092157692613,5,0.03,22993797319.36096,2.9855827913086924e-15
iter1_k15,1,19900424,-72000.0,824000.0,-89127.90896867342,1004137.0008978179,-17127.908968673422,180137.0008978179,66.34296685966125,2.6119278291205217,6,0.03,22993797319.36096,2.9855827913086924e-15
iter1_k16,1,19901221,820000.0,1316000.0,-41198.639928119854,979862.143651905,-861198.6399281198,-336137.856348095,70.19052994296578,2.7634066906679444,6,0.03,22993797319.36096,2.9855827913086924e-15
iter1_k17,1,19970403,292000.0,1204000.0,-14938.935576811404,900411.5480605409,-306938.93557681143,-303588.4519394591,36.26515511579675,1.427762012432943,6,0.03,22993797319.36096,2.9855827913086924e-15
iter1_k18,1,20070113,132000.0,1068000.0,-137674.34478676168,1073700.7537513701,-269674.3447867617,5700.7537513701245,113.11155159004494,4.453210692521455,7,0.03,22993797319.36096,2.9855827913086924e-15
iter1_k19,1,19981017,-240000.0,736000.0,-110940.59449406291,1145508.6769814603,129059.40550593709,409508.6769814603,111.47215260974767,4.388667425580617,7,0.03,22993797319.36096,2.9855827913086924e-15
iter1_k20,1,19850726,872000.0,1252000.0,-134711.55337338272,1039885.1696142388,-1006711.5533733827,-212114.83038576122,54.2708909436571,2.13664924975028,7,0.03,22993797319.36096,2.9855827913086924e-15
iter1_k21,1,20210316,704000.0,1012000.0,-3668.1056843423894,1143108.5642391439,-707668.1056843424,131108.56423914386,35.56574598167992,1.400226219751178,8,0.03,22993797319.36096,2.9855827913086924e-15
iter1_k22,1,19951216,300000.0,740000.0,133104.64723213273,1114861.9007080912,-166895.35276786727,374861.9007080912,50.6498120463187,1.9940870884377442,8,0.03,22993797319.36096,2.9855827913086924e-15
iter1_k23,1,20180528,876000.0,1104000.0,5776.670262919768,1160171.5985248121,-870223.3297370803,56171.59852481214,47.289043596612515,1.8617733699453747,8,0.03,22993797319.36096,2.9855827913086924e-15
iter1_k24,1,19870316,128000.0,1148000.0,397185.9577922416,989230.5660627245,269185.9577922416,-158769.43393727555,6.798479087452471,0.2676566569863178,9,0.02,22993797319.36096,1.9903885275391285e-15
iter1_k25,1,19910301,1188000.0,856000.0,416108.833251177,937066.9303870746,-771891.166748823,81066.9303870746,63.19277134462496,2.487904383646652,9,0.02,22993797319.36096,1.9903885275391285e-15
iter1_k26,1,20130112,720000.0,1416000.0,298404.74879026663,1039239.9010277904,-421595.25120973337,-376760.0989722096,28.651642974421016,1.1280174399378353,10,0.02,22993797319.36096,1.9903885275391285e-15
iter1_k27,1,19910301,1188000.0,856000.0,345553.2653138872,1133762.1034323971,-842446.7346861127,277762.1034323971,29.0506043683028,1.143724581429244,10,0.02,22993797319.36096,1.9903885275391285e-15
iter1_k28,1,20180921,-52000.0,1280000.0,689704.4313898596,1011433.7075329527,741704.4313898596,-268566.29246704734,0.0,0.0,11,0.02,22993797319.36096,1.9903885275391285e-15
iter1_k29,1,19970426,292000.0,1204000.0,654956.6625506928,926198.8598633741,362956.6625506928,-277801.14013662585,1.0873143248520134,0.04280765058472494,11,0.02,22993797319.36096,1.9903885275391285e-15
iter1_k30,1,19981210,348000.0,984000.0,559533.3716922645,1273423.9681284826,211533.37169226445,289423.9681284826,9.988594506135499,0.39325175221005904,12,0.02,22993797319.36096,1.9903885275391285e-15
iter1_k31,1,19790302,744000.0,832000.0,470469.55849030335,1233079.3836779664,-273530.44150969665,401079.3836779664,3.6077428950267887,0.14203712185144837,12,0.02,22993797319.36096,1.9903885275391285e-15
iter1_k32,1,19970426,292000.0,1204000.0,273341.93483575515,1085326.0928079374,-18658.06516424485,-118673.90719206259,26.398032427410993,1.0392926152524014,13,0.02,22993797319.36096,1.9903885275391285e-15
iter1_k33,1,19920901,92000.0,1252000.0,230720.89108193322,1116560.7554078852,138720.89108193322,-135439.24459211482,10.298790993346008,0.4054642123364571,13,0.02,22993797319.36096,1.9903885275391285e-15
iter1_k34,1,20021223,672000.0,924000.0,154056.66920650264,1007787.1328974406,-517943.3307934974,83787.13289744058,47.66557207051503,1.8765973256108281,14,0.02,22993797319.36096,1.9903885275391285e-15
iter1_k35,1,20201008,312000.0,872000.0,220371.63009783355,1003447.8892351419,-91628.36990216645,131447.88923514192,14.522053501987557,0.5717343898420298,14,0.02,22993797319.36096,1.9903885275391285e-15
iter1_k36,1,19790502,536000.0,1308000.0,814417.2715936585,1118135.74543721,278417.2715936585,-189864.25456279004,4.926788868065158,0.19396806567185662,15,0.03,22993797319.36096,2.9855827913086924e-15
iter1_k37,1,20151223,908000.0,968000.0,892863.617151248,1050018.1849494323,-15136.382848751964,82018.18494943227,0.4926028681839786,0.019393813708030654,15,0.03,22993797319.36096,2.9855827913086924e-15
iter1_k38,1,19960527,636000.0,816000.0,866132.0465312415,1085713.2152717395,230132.0465312415,269713.2152717395,4.200553464180781,0.16537612063703863,15,0.03,22993797319.36096,2.9855827913086924e-15
iter1_k39,1,20020330,400000.0,1260000.0,875927.6237637568,999071.5828689911,475927.6237637568,-260928.41713100893,0.0,0.0,16,0.02,22993797319.36096,1.9903885275391285e-15
iter1_k40,1,19990625,568000.0,756000.0,808272.3472391751,1018836.3953142316,240272.3472391751,262836.39531423163,6.042897187175942,0.23790933807779302,16,0.02,22993797319.36096,1.9903885275391285e-15
iter1_k41,1,20000503,304000.0,776000.0,667580.107609006,1197361.7603011385,363580.107609006,421361.7603011385,0.0,0.0,17,0.03,22993797319.36096,2.9855827913086924e-15
iter1_k42,1,20150616,-124000.0,1240000.0,621159.8000876615,1310552.852571997,745159.8000876615,70552.8525719971,0.0,0.0,17,0.03,22993797319.36096,2.9855827913086924e-15
iter1_k43,1,20200915,832000.0,848000.0,615807.1537402093,1256963.3137065654,-216192.8462597907,408963.3137065654,0.5156239029284048,0.020300153658598614,17,0.03,22993797319.36096,2.9855827913086924e-15
iter1_k44,1,20220524,860000.0,852000.0,651481.3415815842,1082973.7598885533,-208518.6584184158,230973.7598885533,22.644384073625993,0.8915111840010234,18,0.03,22993797319.36096,2.9855827913086924e-15
iter1_k45,1,20041122,860000.0,1228000.0,717885.1340103857,1132829.6517576259,-142114.86598961428,-95170.34824237414,54.467788627722086,2.144401127075673,18,0.03,22993797319.36096,2.9855827913086924e-15
iter1_k46,1,20091012,224000.0,1136000.0,714132.6021108916,1056904.6741626721,490132.6021108916,-79095.32583732787,0.0,0.0,18,0.03,22993797319.36096,2.9855827913086924e-15
iter1_k47,1,20200902,-68000.0,904000.0,1134365.4829977506,893753.7106194408,1202365.4829977506,-10246.289380559232,0.0,0.0,19,0.03,22993797319.36096,2.9855827913086924e-15
iter1_k48,1,20200204,828000.0,872000.0,1135361.6623320014,996787.8895907055,307361.6623320014,124787.88959070551,0.07445558033062025,0.00293132206026064,19,0.03,22993797319.36096,2.9855827913086924e-15
iter1_k49,1,20221228,208000.0,928000.0,1074655.849145281,893999.1134117116,866655.8491452809,-34000.886588288355,0.0,0.0,19,0.03,22993797319.36096,2.9855827913086924e-15
iter1_k50,1,19810209,720000.0,832000.0,1100557.0031989287,1102061.7949543882,380557.00319892867,270061.79495438817,0.0,0.0,20,0.03,22993797319.36096,2.9855827913086924e-15
iter1_k51,1,19800327,584000.0,924000.0,1159610.3166384965,1153705.1673742337,575610.3166384965,229705.16737423372,0.0,0.0,20,0.03,22993797319.36096,2.9855827913086924e-15
iter1_k52,1,20040608,-244000.0,780000.0,1157017.7919745622,1042845.7386210918,1401017.7919745622,262845.7386210918,0.0,0.0,20,0.03,22993797319.36096,2.9855827913086924e-15
iter1_k53,1,19840303,520000.0,984000.0,453325.10393444775,941708.4696008863,-66674.89606555225,-42291.53039911366,23.679017779986175,0.9322447944876447,21,0.03,22993797319.36096,2.9855827913086924e-15
iter1_k54,1,20170101,716000.0,884000.0,523578.9386337589,956685.0055338707,-192421.06136624108,72685.00553387066,23.147667862080883,0.9113255063811372,21,0.03,22993797319.36096,2.9855827913086924e-15
iter1_k55,1,20120320,256000.0,884000.0,510957.4711926052,982126.445801526,254957.4711926052,98126.44580152596,22.42361006092292,0.8828192937371229,21,0.03,22993797319.36096,2.9855827913086924e-15
iter1_k56,1,19840921,316000.0,860000.0,553669.611395725,1077434.3151712404,237669.61139572505,217434.31517124036,2.4489806010737123,0.09641655909739025,22,0.03,22993797319.36096,2.9855827913086924e-15
iter1_k57,1,19840921,316000.0,860000.0,577715.65126572,1121105.1769870515,261715.65126572002,261105.1769870515,0.9449361200527134,0.03720220945089423,22,0.03,22993797319.36096,2.9855827913086924e-15
iter1_k58,1,19830919,316000.0,864000.0,461752.39395108033,1067753.4946355792,145752.39395108033,203753.49463557918,18.158795206100933,0.714913197090588,22,0.03,22993797319.36096,2.9855827913086924e-15
iter1_k59,1,19931202,196000.0,1244000.0,768707.2751479616,1247561.3332928596,572707.2751479616,3561.3332928596064,0.0,0.0,23,0.02,22781626461.34307,2.0089255026051328e-15
iter1_k60,1,20160330,976000.0,948000.0,800670.9261289636,1183908.383557095,-175329.0738710364,235908.38355709496,5.598167654143623,0.22040030134423713,23,0.02,22781626461.34307,2.0089255026051328e-15
iter1_k61,1,19920222,68000.0,736000.0,1310704.0738460883,918083.9694469523,1242704.0738460883,182083.96944695234,0.0,0.0,24,0.02,22749474544.283047,2.0117647244963373e-15
iter1_k62,1,20091109,1056000.0,1160000.0,1203159.813748004,964594.9715653686,147159.81374800391,-195405.02843463141,0.22326305717734618,0.008789884140840401,24,0.02,22749474544.283047,2.0117647244963373e-15
iter1_k63,1,20030214,744000.0,1380000.0,430560.1131322279,1236105.2739500387,-313439.8868677721,-143894.7260499613,29.916349809885933,1.1778090476333045,25,0.02,22681924678.898933,2.017756034239582e-15
iter1_k64,1,20050411,560000.0,1104000.0,308760.8793327651,1194249.0294885577,-251239.12066723488,90249.02948855772,30.564603676978916,1.2033308534243667,25,0.02,22681924678.898933,2.017756034239582e-15
iter1_k65,1,19810514,236000.0,1112000.0,-162604.19554029824,707089.1988446731,-398604.19554029824,-404910.8011553269,8.535327730729346,0.336036524831864,26,0.02,21885756411.153843,2.0911587211896213e-15
iter1_k66,1,20080901,388000.0,936000.0,-100747.60145098166,641848.1593881393,-488747.6014509817,-294151.84061186074,42.015174019184236,1.6541407094167022,26,0.02,21885756411.153843,2.0911587211896213e-15
iter1_k67,1,19981017,-240000.0,736000.0,433767.615077785,782867.7863799441,673767.615077785,46867.78637994407,0.0,0.0,27,0.02,21430712115.172905,2.1355608783813282e-15
iter1_k68,1,19850223,372000.0,916000.0,419131.4527369194,810197.8933749958,47131.4527369194,-105802.1066250042,27.666295800207397,1.0892242441026534,27,0.02,21430712115.172905,2.1355608783813282e-15
iter1_k69,1,20030406,732000.0,1084000.0,286414.3129997314,742012.604940034,-445585.6870002686,-341987.395059966,14.337988517542344,0.564487736911116,28,0.02,20678307088.676804,2.213265824554722e-15
iter1_k70,1,20050709,1080000.0,1144000.0,263313.05017151893,773487.5858355023,-816686.9498284811,-370512.41416449775,25.676668358969927,1.0108924550775562,28,0.02,20678307088.676804,2.213265824554722e-15
iter1_k71,1,19840501,144000.0,1216000.0,-248718.18034154258,1121879.6752206527,-392718.1803415426,-94120.32477934728,63.40432185447632,2.4962331438770207,29,0.02,20114838625.10125,2.275265103638665e-15
iter1_k72,1,20001214,856000.0,1368000.0,-167380.6434496133,1056493.4127072587,-1023380.6434496134,-311506.5872927413,9.94179174408054,0.39140912378269843,29,0.02,20114838625.10125,2.275265103638665e-15
iter1_k73,1,19931202,196000.0,1244000.0,540077.4465216424,747639.3320646714,344077.4465216424,-496360.66793532856,0.0,0.0,30,0.02,19708054817.87482,2.322227678578741e-15
iter1_k74,1,20120108,260000.0,768000.0,478085.61247533635,801645.3314703942,218085.61247533635,33645.33147039416,18.777879796059455,0.739286606144073,30,0.02,19708054817.87482,2.322227678578741e-15
iter1_k75,1,20010117,652000.0,1240000.0,1030494.9507922761,1236864.7825577683,378494.95079227607,-3135.2174422317185,0.9719325203076391,0.03826505985463146,31,0.02,18587520027.810345,2.4622214432339973e-15
iter1_k76,1,19800327,584000.0,924000.0,902578.1884727274,1248566.1101603801,318578.18847272743,324566.11016038014,0.20490839536569955,0.008067259660066911,31,0.02,18587520027.810345,2.4622214432339973e-15
iter1_k77,1,19920303,28000.0,732000.0,-233642.2579265137,837339.8111779882,-261642.2579265137,105339.81117798819,55.6790204804701,2.192087420490949,32,0.02,18155677288.641464,2.52078673031099e-15
iter1_k78,1,20030612,816000.0,1100000.0,-188110.72064785304,754705.2183158848,-1004110.7206478531,-345294.7816841152,12.137538346871759,0.47785584042802204,32,0.02,18155677288.641464,2.52078673031099e-15
iter1_k79,1,19970228,280000.0,1088000.0,-218291.16950682475,949256.8577392278,-498291.16950682475,-138743.14226077218,62.4317695731075,2.4579436839806106,33,0.02,17518986917.127464,2.612399370209715e-15
iter1_k80,1,19900501,124000.0,1248000.0,-243817.7441220067,890321.55900943,-367817.7441220067,-357678.44099057,11.726856852748012,0.4616872776672446,33,0.02,17518986917.127464,2.612399370209715e-15
iter1_k81,1,19970219,-220000.0,996000.0,635864.9280381723,1379395.7614725858,855864.9280381723,383395.76147258584,0.0,0.0,34,0.02,17388323430.92627,2.6320300844886027e-15
iter1_k82,1,19930619,112000.0,1008000.0,666222.0037483275,1388337.6860778907,554222.0037483275,380337.6860778907,0.0,0.0,34,0.02,17388323430.92627,2.6320300844886027e-15
iter1_k83,1,19830131,756000.0,988000.0,-309075.37555595,712969.0514875583,-1065075.37555595,-275030.9485124417,20.84555797398894,0.8206912588184622,35,0.02,16563530808.580452,2.7630938667562006e-15
iter1_k84,1,20091002,-120000.0,688000.0,-186889.27622689086,630735.2139772791,-66889.27622689086,-57264.78602272086,52.1920476149326,2.0548050242099447,35,0.02,16563530808.580452,2.7630938667562006e-15
iter1_k85,1,20040926,1272000.0,880000.0,1112189.801886125,1249695.094844586,-159810.198113875,369695.094844586,0.06947805046664363,0.002735356317584395,36,0.02,15377844553.454176,2.97613818568194e-15
iter1_k86,1,20020302,1108000.0,880000.0,1099377.1009237187,1202580.4336492105,-8622.899076281348,322580.4336492105,0.013515382747603995,0.0005321016829765352,36,0.02,15377844553.454176,2.97613818568194e-15
iter1_k87,1,19820201,912000.0,860000.0,20796.792185171875,1273472.7948330045,-891203.2078148281,413472.7948330045,0.0,0.0,37,0.02,14626431834.960354,3.1290331712772156e-15
iter1_k88,1,20080810,360000.0,1048000.0,87689.26910292666,1244345.1962724992,-272310.73089707334,196345.19627249916,22.27656331014518,0.8770300515805188,37,0.02,14626431834.960354,3.1290331712772156e-15
iter1_k89,1,20040608,-244000.0,780000.0,-64026.94772555375,1176543.139727994,179973.05227444624,396543.1397279941,37.455131459557556,1.4746114747857306,38,0.02,14397563471.384775,3.1787733028562322e-15
iter1_k90,1,20140509,444000.0,792000.0,-53059.412362832285,1207570.6573787767,-497059.4123628323,415570.6573787767,3.7601106118216383,0.14803585085911963,38,0.02,14397563471.384775,3.1787733028562322e-15
iter1_k91,1,19821117,308000.0,924000.0,1243623.102172737,1043858.5147040118,935623.102172737,119858.51470401185,0.0,0.0,39,0.01,13604359029.11309,1.6820561075709747e-15
iter1_k92,1,19930118,480000.0,832000.0,178948.67784076242,1193934.497739797,-301051.3221592376,361934.497739797,22.230038022813687,0.8751983473548697,40,0.01,13353044037.576754,1.713713751719249e-15
iter1_k93,1,20020913,748000.0,836000.0,773008.809578687,1420769.2664800198,25008.809578686953,584769.2664800198,15.930280256221915,0.6271763880402329,41,0.01,12115117206.026735,1.8888216106670914e-15
iter1_k94,1,19841018,300000.0,1308000.0,457292.485170316,1335416.0904016206,157292.485170316,27416.090401620604,33.09599140165918,1.3029917874668968,42,0.01,11327504331.48679,2.020153294569914e-15
iter1_k95,1,20160429,152000.0,1236000.0,47492.63191076423,660426.5806691705,-104507.36808923577,-575573.4193308295,0.0,0.0,43,0.01,10923797691.821012,2.094811332110393e-15
iter1_k96,1,19890929,912000.0,876000.0,700631.1377170675,828713.2106007203,-211368.8622829325,-47286.78939927975,4.879364319586069,0.19210095746401848,44,0.01,9650203404.90583,2.371275944595627e-15
iter1_k97,1,19911025,36000.0,1236000.0,-175984.7770360986,542012.0110676432,-211984.7770360986,-693987.9889323568,0.0,0.0,45,0.01,5912616808.444615,3.870248307285067e-15
iter1_k98,1,19960125,520000.0,860000.0,-145347.70718294845,499283.45571068185,-665347.7071829485,-360716.54428931815,16.179710454113376,0.6369964745713929,46,0.01,5521976982.139856,4.1440403081217405e-15
iter1_k99,1,19821117,308000.0,924000.0,887700.7525642874,860742.4867525535,579700.7525642874,-63257.513247446506,0.0,0.0,47,0.01,4972055453.135935,4.602381331060023e-15
